# CCONJ words ending in -que (excluding bare 'que')
# Format: word	count


Punitisque	1
carptimque	1
murmurque	1
Supplitiumque	1
dilaniatque	1
Digrediturque	1
Praeficiuntque	1
seseque	1
Paeneque	1
sedileque	1
claraque	1
Urinamque	1
Popiliusque	1
curvaque	1
Abruptaeque	1
regioque	1
Archimedique	1
Potaque	1
levisque	1
fluviumque	1
cultumque	1
Allobrogesque	1
Equitiumque	1
Quaesitusque	1
Tonsoresque	1
Nobilitasque	1
Arripiensque	1
Extrahiturque	1
aedituusque	1
Testarisque	1
serviciumque	1
demonioque	1
Securusque	1
ruraque	1
Heleneque	1
propositasque	1
hiisque	1
Armatosque	1
certaque	1
Priamusque	1
tuamque	1
Inuictosque	1
Distribuatque	1
rethoricisque	1
Rollonisque	1
patrique	1
mulierque	1
rhetorque	1
coniugiique	1
fractisque	1
arxque	1
hasque	1
Postponentque	1
fallaxque	1
silvisque	1
portuque	1
Excipiturque	1
potuque	1
pontemque	1
vestrisque	1
Reque	1
Continuoque	1
substituuntque	1
sacramque	1
excubiasque	1
genitorque	1
ingenitusque	1
Millenusque	1
illaque	1
cerebrumque	1
causaeque	1
causidicique	1
Regalemque	1
fremitusque	1
densque	1
sanusque	1
Ferratasque	1
Indomitusque	1
aciesque	1
reliquiasque	1
Nigasiique	1
desidiaque	1
Rollandoque	1
Britonesque	1
Assiduaeque	1
Grexque	1
futuraque	1
Agminibusque	1
proprioque	1
Egregiique	1
sorsque	1
Schismaticique	1
Reddeturque	1
Saxonicique	1
Virgoque	1
Discretorque	1
Karoloque	1
laceratque	1
sitimque	1
causidicusque	1
Fautoresque	1
clerusque	1
discutiturque	1
Pompeiusque	1
Italicosque	1
schismaticosque	1
populisque	1
praesulibusque	1
servitiumque	1
esuriensque	1
conspicuusque	1
dabatque	1
daque	1
Tectaque	1
respersaque	1
corque	1
Finissemque	1
Ubertimque	1
Urnaque	1
Precidensque	1
Phisicaque	1
preceleratque	1
uelintque	1
manibusque	1
attonitusque	1
Lubricaque	1
reticetque	1
fissiliorque	1
meamque	1
deuoueoque	1
scitasque	1
queritque	1
parcitque	1
deumque	1
Intenditque	1
pretioque	1
relliquiasque	1
piscosaque	1
Deficiensque	1
osculaque	1
magnoque	1
assequiturque	1
promissaque	1
Singultusque	1
uenabulaque	1
indocilisque	1
gratumque	1
habituque	1
ouisque	1
Precipitemque	1
Berfridoque	1
caprumque	1
hucque	1
Raraque	1
repperimusque	1
Teutonicique	1
preripimusque	1
Meniaque	1
meaque	1
Implebuntque	1
emoriturque	1
Clamauitque	1
Palliaque	1
suumque	1
transieritque	1
sanctisque	1
comitesque	1
euntque	1
Fertque	1
simpliciterque	1
profertque	1
plumeaque	1
rotasseque	1
Mobiliorque	1
prauoque	1
exierintque	1
uariumque	1
gallicaque	1
ligoque	1
multiplicetque	1
Roboreque	1
hostique	1
octauaque	1
proculque	1
cursuque	1
Euentusque	1
coniuratamque	1
saltusque	1
caperque	1
sollicitisque	1
Caldaiceque	1
innocuusque	1
captique	1
urnaque	1
Canaque	1
amfractusque	1
capitique	1
Glutieratque	1
Ferculaque	1
recipitque	1
dabiturque	1
pulseque	1
Duraque	1
uosque	1
aridiorque	1
fratremque	1
anserque	1
Procurritque	1
Nunciaque	1
Ulteriusque	1
Frondeaque	1
fugiensque	1
dolorAtque	1
scriniaque	1
Ouaque	1
bibulusque	1
adhucque	1
solideque	1
obtuleritque	1
ingluuieque	1
undecimoque	1
interque	1
pauetque	1
exhibuitque	1
quindeciesque	1
stolulisque	1
tumbeque	1
oculique	1
nomineque	1
Deteriorque	1
epulumque	1
discretioque	1
Stuppeaque	1
feroxque	1
exactorque	1
Impositumque	1
Raptoresque	1
sanctique	1
Circumstentque	1
oculoque	1
deuoueatque	1
femurque	1
Scrutaque	1
alacerque	1
Disperiitque	1
arbitrioque	1
Parque	1
materieque	1
agerque	1
dolique	1
accipiensque	1
mineque	1
habeasque	1
Vultque	1
exilioque	1
Applaudentque	1
gulaque	1
Imaque	1
Felicesque	1
Nulliusque	1
graviorque	1
Ambrosiusque	1
verborumque	1
diligiturque	1
nutritque	1
votivaque	1
letanturque	1
ipsamque	1
Consultoque	1
frustratimque	1
speculatoresque	1
hostesque	1
constituetque	1
precipueque	1
puerque	1
sollicitatque	1
capiatque	1
arguiturque	1
delevitque	1
ephodque	1
Sexcentisque	1
Regrediensque	1
tutaque	1
famulusque	1
rapidumque	1
Commotusque	1
accinctusque	1
doleoque	1
salvaque	1
nupsitque	1
uxoremque	1
dudumque	1
ruitque	1
alterutrumque	1
cenaque	1
plebemque	1
semenque	1
urbemque	1
sculptilibusque	1
consuliturque	1
interficiensque	1
ariesque	1
Nasceturque	1
Adduxitque	1
Tradunturque	1
vestibuloque	1
conceditque	1
associatque	1
Feletique	1
Sexcentique	1
herique	1
obtinuitque	1
Galaadditesque	1
Narrantique	1
victricemque	1
Pheletique	1
mentumque	1
tinctusque	1
Prudentique	1
iuditioque	1
nobiliorque	1
conatuque	1
Divinamque	1
responditque	1
prepositusque	1
altaque	1
inferturque	1
agensque	1
disposuitque	1
Insidiansque	1
siriosque	1
Baaseque	1
consumpsitque	1
artabatque	1
raraque	1
preveniatque	1
tociensque	1
voxque	1
currumque	1
recteque	1
doque	1
pulsoque	1
corrodentque	1
piscinaque	1
Premisitque	1
surrexitque	1
subiectusque	1
maneatque	1
subiecitque	1
impositoque	1
tollentisque	1
Percutiturque	1
appositusque	1
Incubuitque	1
simque	1
Farfarque	1
tectaque	1
